stage,attention_type,num_layers,dropout,lr,d_model,attention_dim,ffn_hidden_dim,batch_size,max_epochs,patience,best_epoch,best_train_loss,best_val_loss,best_val_acc,best_val_auc
learning_rate,multi,3,0.2,0.001,64,64,128,128,30,5,8,0.8604491806030273,0.9046244119343004,0.6408333333333334,0.7765891656817195
learning_rate,multi,3,0.2,0.0005,64,64,128,128,30,5,6,0.8681758995850881,0.8910405839744368,0.6941666666666667,0.775779040323889
learning_rate,multi,3,0.2,0.0001,64,64,128,128,30,5,14,0.8699778751532237,0.8901671782920235,0.76375,0.771346274179068
d_model,multi,3,0.2,0.001,16,16,32,128,30,5,22,0.8568014466762542,0.8844558941690546,0.7329166666666667,0.7773929934232733
d_model,multi,3,0.2,0.001,32,32,64,128,30,5,8,0.8652076443036397,0.8880807553466997,0.7310416666666667,0.7732209485923064
d_model,multi,3,0.2,0.001,64,64,128,128,30,5,7,0.8661449948946635,0.8926571278195632,0.77125,0.7747865359986861
dropout,multi,3,0.1,0.001,16,16,32,128,30,5,12,0.8636314876874288,0.8882891974951092,0.7754166666666666,0.7730234553458701
dropout,multi,3,0.2,0.001,16,16,32,128,30,5,21,0.8595219107468923,0.889178969358143,0.7439583333333334,0.7725510081727944
dropout,multi,3,0.3,0.001,16,16,32,128,30,5,20,0.8654111087322235,0.890709787607193,0.7710416666666666,0.7748830154800447
attention_and_layers,single,1,0.3,0.001,16,16,32,128,30,5,30,0.8652112078666687,0.8886691880853552,0.7520833333333333,0.771586717168511
attention_and_layers,single,2,0.3,0.001,16,16,32,128,30,5,21,0.8616049631436666,0.890230898794375,0.736875,0.7714755012650651
attention_and_layers,single,3,0.3,0.001,16,16,32,128,30,5,16,0.8628617393970489,0.8889120911297045,0.7525,0.7739300601850592
attention_and_layers,multi,1,0.3,0.001,16,16,32,128,30,5,26,0.8764862215518952,0.8930262342879647,0.7495833333333334,0.7679332180617651
attention_and_layers,multi,2,0.3,0.001,16,16,32,128,30,5,16,0.8674587301413218,0.8917444771841952,0.7447916666666666,0.770092544730709
attention_and_layers,multi,3,0.3,0.001,16,16,32,128,30,5,21,0.8595724566777547,0.88473820529486,0.7414583333333333,0.7755435094751416
batch_size,multi,3,0.3,0.001,16,16,32,32,30,5,16,0.8635448195040226,0.88886774122715,0.7541666666666667,0.7744557851918354
batch_size,multi,3,0.3,0.001,16,16,32,64,30,5,10,0.8754195014635722,0.8901000944773356,0.7733333333333333,0.772016466503231
batch_size,multi,3,0.3,0.001,16,16,32,128,30,5,21,0.860029338200887,0.901894925456298,0.7635416666666667,0.7720964462299446
